playerId,name,team,position,toi,gamesPlayed,saves,shots,shutout,fantasyPoints,missedGames,creaseShare,gamesRemaining,FPP60,FPPG,fantasyPointsRemain
8470594,M. Fleury,MIN,G,32280,9,217,248,0,-4.599999999999998,0,42.47,25,-0.51,-0.51,-13.29
8471734,J. Quick,NYR,G,27196,8,200,215,2,41.0,0,34.13,20,5.43,5.12,111.14
8473503,J. Reimer,DET,G,21912,6,155,169,1,16.000000000000004,0,26.46,15,2.63,2.67,41.04
8473575,S. Varlamov,NYI,G,28846,8,252,272,2,33.400000000000006,0,34.5,20,4.17,4.18,84.85
8474593,J. Markstrom,CGY,G,57455,16,403,450,0,12.600000000000009,0,66.12,38,0.79,0.79,30.28
8474596,J. Allen,MTL,G,33724,10,308,343,0,5.600000000000003,0,38.46,22,0.6,0.56,13.33
8475311,D. Kuemper,WSH,G,43827,12,312,349,0,10.400000000000002,0,57.58,35,0.85,0.87,30.01
8475660,C. Talbot,LAK,G,53370,15,389,419,1,61.800000000000004,0,73.8,45,4.17,4.12,190.75
8475683,S. Bobrovsky,FLA,G,64261,18,447,490,2,54.400000000000006,0,74.92,43,3.05,3.02,132.42
8475717,C. Pickard,EDM,G,6115,2,41,46,0,-1.7999999999999994,0,7.74,4,-1.06,-0.9,-4.92
8475789,J. Campbell,EDM,G,16007,5,137,157,0,-8.599999999999998,0,20.25,12,-1.93,-1.72,-23.5
8475809,S. Wedgewood,DAL,G,21561,6,195,214,0,18.0,0,27.22,16,3.01,3.0,49.08
8475831,P. Grubauer,SEA,G,45935,14,320,363,0,-0.9999999999999956,0,50.16,28,-0.08,-0.07,-2.24
8475839,L. Domingue,NYR,G,3600,1,25,26,0,7.0,0,4.52,2,7.0,7.0,18.98
8475852,P. Mrazek,CHI,G,42739,13,360,400,0,12.000000000000004,0,54.36,32,1.01,0.92,32.97
8475883,F. Andersen,CAR,G,18845,6,127,142,0,11.400000000000002,13,22.7,10,2.18,1.9,22.74
8476316,L. Brossoit,WPG,G,18173,5,107,122,0,0.40000000000000124,0,21.86,12,0.08,0.08,1.02
8476341,A. Forsberg,OTT,G,26157,8,164,186,1,7.8000000000000025,0,38.23,24,1.07,0.98,25.86
8476412,J. Binnington,STL,G,56799,17,476,523,1,33.2,0,68.56,40,2.1,1.95,85.12
8476433,M. Hellberg,PIT,G,7193,3,59,64,0,5.800000000000001,0,8.7,5,2.9,1.93,14.9
8476434,J. Gibson,ANA,G,56524,17,426,470,0,17.200000000000006,0,65.88,38,1.1,1.01,41.86
8476883,A. Vasilevskiy,TBL,G,13040,4,85,99,0,-6.999999999999998,0,14.56,8,-1.93,-1.75,-16.04
8476914,J. Korpisalo,OTT,G,42260,13,351,391,0,10.200000000000003,0,61.77,38,0.87,0.78,33.81
8476932,A. Stolarz,FLA,G,21515,6,154,168,0,15.800000000000002,0,25.08,14,2.64,2.63,38.46
8476945,C. Hellebuyck,WPG,G,64950,18,469,514,1,51.800000000000004,0,78.14,46,2.87,2.88,132.36
8476999,L. Ullmark,BOS,G,42102,12,348,379,0,40.6,0,50.43,29,3.47,3.38,103.29
8477035,M. Tomkins,TBL,G,10575,3,80,90,0,1.7763568394002505e-15,0,11.81,6,0.0,0.0,0.0
8477293,A. Raanta,CAR,G,31084,10,175,205,1,2.0000000000000018,0,37.44,22,0.23,0.2,5.12
8477361,C. Petersen,PHI,G,7200,2,60,67,0,2.0,0,8.32,4,1.0,1.0,4.83
8477424,J. Saros,NSH,G,59031,18,444,496,1,19.800000000000004,0,72.37,42,1.21,1.1,51.56
8477465,T. Jarry,PIT,G,61184,18,471,513,3,53.2,0,74.0,43,3.13,2.96,136.66
8477480,E. Comrie,BUF,G,17144,6,122,141,0,-9.599999999999998,0,19.98,11,-2.02,-1.6,-23.35
8477484,S. Martin,CBJ,G,29220,9,242,268,0,5.400000000000002,0,32.63,18,0.67,0.6,12.37
8477831,P. Copley,LAK,G,18944,6,105,121,1,6.0,0,26.2,16,1.14,1.0,18.52
8477967,T. Demko,VAN,G,63744,18,485,525,2,71.0,0,71.14,40,4.01,3.94,162.6
8477968,A. Nedeljkovic,PIT,G,14307,4,133,142,1,19.6,0,17.3,10,4.93,4.9,50.35
8477970,V. Vanecek,NJD,G,47483,15,335,381,0,7.000000000000005,0,60.64,36,0.53,0.47,19.31
8477992,J. Johansson,TBL,G,65935,19,522,585,2,21.400000000000013,0,73.63,41,1.17,1.13,49.04
8478007,E. Merzlikins,CBJ,G,60332,18,519,570,0,28.800000000000008,0,67.37,38,1.72,1.6,65.99
8478009,I. Sorokin,NYI,G,54763,15,501,548,2,41.2,0,65.5,38,2.71,2.75,104.66
8478024,V. Husso,DET,G,46616,13,366,411,0,16.200000000000003,0,56.29,33,1.25,1.25,41.55
8478039,K. Kahkonen,SJS,G,29796,10,285,318,0,3.0000000000000018,0,34.55,20,0.36,0.3,7.26
8478048,I. Shesterkin,NYR,G,48884,14,381,416,0,46.2,0,61.35,36,3.4,3.3,125.24
